company1,company2,similarity,block_key,company1_processed,company2_processed,idx1,idx2,component_id,component_size
Northcal Driving,Northcal Driving School,1.0,name_first_word_northcal,northcal driving,northcal driving school,21076,18021,1079,4
NovaMed Urgent Care,NovaMed Urgent Care,1.0,name_first_word_novamed,novamed urgent care,novamed urgent care,25840,28785,4871,2
NovaMed Urgent Care in Illinois,NovaMed Urgent Care in Illinois,1.0,name_first_word_novamed,novamed urgent care in illinois,novamed urgent care in illinois,321,32509,4872,2
NSK Intelligence Collection,NSK Intelligence Collection,1.0,name_first_word_nsk,nsk intelligence collection,nsk intelligence collection,31792,22435,4873,3
NSK Intelligence Collection,Nsk Intelligence Collection,1.0,name_first_word_nsk,nsk intelligence collection,nsk intelligence collection,31792,11702,4873,3
Nuova Visione Oftalmología y Óptica,Nuova Visione Oftalmología y Óptica,1.0,name_first_word_nuova,nuova visione oftalmologia y optica,nuova visione oftalmologia y optica,1718,9878,4874,2
Nuova Visione,Nuova Visione,1.0,name_first_word_nuova,nuova visione,nuova visione,7642,16987,4875,2
Nutley Farm Cats,Nutley Farm Cats,1.0,name_first_word_nutley,nutley farm cats,nutley farm cats,27728,33317,4876,2
Nutmeg Bakeshop,Nutmeg Bakeshop,1.0,name_first_word_nutmeg,nutmeg bakeshop,nutmeg bakeshop,27586,7910,1992,5
OBIKUA,OBIKUA,1.0,name_first_word_obikua,obikua,obikua,26141,33347,4877,3
OBIKUA,Obikua,1.0,name_first_word_obikua,obikua,obikua,26141,22221,4877,3
Omsed Fırın Cafe Restaurant,Omsed Fırın Cafe Restaurant,1.0,name_first_word_omsed,omsed firin cafe restaurant,omsed firin cafe restaurant,30915,32588,1853,3
ONCOVIDA - CENTRO DE ONCOLOGIA DA BAHIA,ONCOVIDA - CENTRO DE ONCOLOGIA DA BAHIA,1.0,name_first_word_oncovida,oncovida centro de oncologia da bahia,oncovida centro de oncologia da bahia,28808,18875,4878,2
Opentech,OPENTECH,1.0,name_first_word_opentech,opentech,opentech,32228,4069,4879,4
Opentech,Opentech,1.0,name_first_word_opentech,opentech,opentech,32228,21692,4879,4
OPENTECH,OPENTECH,1.0,name_first_word_opentech,opentech,opentech,4069,30008,4879,4
OptikNet,Optiknet,1.0,name_first_word_optiknet,optiknet,optiknet,5185,24945,2660,4
Optiknet,Optiknet,1.0,name_first_word_optiknet,optiknet,optiknet,24945,26353,2660,4
Ordine degli Ingegneri della Provincia di Cremona,Ordine Degli Ingegneri Della Provincia Di Cremona,1.0,name_first_word_ordine,ordine degli ingegneri della provincia di cremona,ordine degli ingegneri della provincia di cremona,17019,5225,4880,4
Ordine degli Ingegneri della Provincia di Cremona,Ordine degli Ingegneri della Provincia di Cremona,1.0,name_first_word_ordine,ordine degli ingegneri della provincia di cremona,ordine degli ingegneri della provincia di cremona,17019,43,4880,4
Ordine degli Ingegneri della Provincia di Cremona,Ordine degli Ingegneri della provincia di Cremona,1.0,name_first_word_ordine,ordine degli ingegneri della provincia di cremona,ordine degli ingegneri della provincia di cremona,17019,26029,4880,4
Ordine Degli Ingegneri Della Provincia Di Cremona,Ordine degli Ingegneri della provincia di Cremona,1.0,name_first_word_ordine,ordine degli ingegneri della provincia di cremona,ordine degli ingegneri della provincia di cremona,5225,26029,4880,4
OrtoDent snimanje zuba,OrtoDent snimanje zuba,1.0,name_first_word_ortodent,ortodent snimanje zuba,ortodent snimanje zuba,8368,31972,4881,2
Osteopathie Weber,Osteopathie - Weber,1.0,name_first_word_osteopathie,osteopathie weber,osteopathie weber,18279,32409,4882,2
OTL Enterprises,OTL Enterprises,1.0,name_first_word_otl,otl enterprises,otl enterprises,25697,13477,4883,2
OTL Enterprises LLC.,OTL,1.0,name_first_word_otl,otl enterprises llc,otl,1234,16158,2011,3
Ourisman Hyundai Of Bowie,Ourisman Hyundai Of Bowie,1.0,name_first_word_ourisman,ourisman hyundai of bowie,ourisman hyundai of bowie,32816,5923,4884,4
Ourisman Hyundai Of Bowie,Ourisman Hyundai of Bowie,1.0,name_first_word_ourisman,ourisman hyundai of bowie,ourisman hyundai of bowie,32816,25561,4884,4
Ourisman Hyundai of Bowie,Ourisman Hyundai of Bowie,1.0,name_first_word_ourisman,ourisman hyundai of bowie,ourisman hyundai of bowie,25561,10444,4884,4
Pampa Chemical Indústria de Produtos de Limpeza,Pampa Chemical Indústria de Produtos de Limpeza,1.0,name_first_word_pampa,pampa chemical industria de produtos de limpeza,pampa chemical industria de produtos de limpeza,19217,31240,4885,2
Panache Health Care,Panache Health Care,1.0,name_first_word_panache,panache health care,panache health care,28199,14375,4886,3
Pand P,Pand P,1.0,name_first_word_pand,pand p,pand p,17474,23236,4887,2
Panevski ltd.,Panevski ltd.,1.0,name_first_word_panevski,panevski ltd,panevski ltd,32689,27624,4888,2
Panoramic Landscaping Excavation,Panoramic Landscaping & Excavation,1.0,name_first_word_panoramic,panoramic landscaping excavation,panoramic landscaping excavation,8236,31023,4117,5
Paulussen Hardhouthandel,Paulussen Hardhouthandel,1.0,name_first_word_paulussen,paulussen hardhouthandel,paulussen hardhouthandel,27424,19833,4889,2
Paulussen Houthandel,Paulussen Houthandel,1.0,name_first_word_paulussen,paulussen houthandel,paulussen houthandel,22238,19566,4890,2
PegaFrango Burger,PEGAFRANGO BURGER,1.0,name_first_word_pegafrango,pegafrango burger,pegafrango burger,22123,25103,4221,4
Peninsula Master Plumbers Pty Ltd.,Peninsula Master Plumbers Pty Ltd.,1.0,name_first_word_peninsula,peninsula master plumbers pty ltd,peninsula master plumbers pty ltd,29162,1864,4891,2
Peninsula Master Plumbers,Peninsula Master Plumbers,1.0,name_first_word_peninsula,peninsula master plumbers,peninsula master plumbers,23117,12698,798,3
PERIODONTICS P.C.,Periodontics P.C.,1.0,name_first_word_periodontics,periodontics pc,periodontics pc,18992,15697,1265,6
PERIODONTICS P.C.,"Periodontics, P.C.",1.0,name_first_word_periodontics,periodontics pc,periodontics pc,18992,32116,1265,6
PERIODONTICS P.C.,PERIODONTICS PC.,1.0,name_first_word_periodontics,periodontics pc,periodontics pc,18992,13867,1265,6
PERIODONTICS P.C.,Periodontics,1.0,name_first_word_periodontics,periodontics pc,periodontics,18992,8429,1265,6
Periodontics P.C.,"Periodontics, P.C.",1.0,name_first_word_periodontics,periodontics pc,periodontics pc,15697,32116,1265,6
Periodontics P.C.,PERIODONTICS PC.,1.0,name_first_word_periodontics,periodontics pc,periodontics pc,15697,13867,1265,6
"Periodontics, P.C.",PERIODONTICS PC.,1.0,name_first_word_periodontics,periodontics pc,periodontics pc,32116,13867,1265,6
"Periodontics, P.C.",Periodontics,1.0,name_first_word_periodontics,periodontics pc,periodontics,32116,8429,1265,6
PERIODONTICS PC.,Periodontics,1.0,name_first_word_periodontics,periodontics pc,periodontics,13867,8429,1265,6
Pest Guard Limited,PEST GUARD LIMITED,1.0,name_first_word_pest,pest guard,pest guard,4531,18292,2894,4
Pest Guard Limited,Pest Guard Limited,1.0,name_first_word_pest,pest guard,pest guard,4531,2424,2894,4
Pest Guard,PEST GUARD LIMITED,1.0,name_first_word_pest,pest guard,pest guard,13988,18292,2894,4
Petzoldt Memorial Hand & Back Rehab,Petzoldt Memorial Hand & Back Rehab,1.0,name_first_word_petzoldt,petzoldt memorial hand back rehab,petzoldt memorial hand back rehab,1905,31691,4892,2
Philip DeAngelis - TD Wealth Financial Advisor,Philip DeAngelis - TD Wealth Financial Advisor,1.0,name_first_word_philip,philip deangelis td wealth financial advisor,philip deangelis td wealth financial advisor,22705,31334,4893,2
Pike County Generator Inc.,PIKE COUNTY GENERATOR INC.,1.0,name_first_word_pike,pike county generator inc,pike county generator inc,7109,4507,1014,5
Pike County Generator Inc.,Pike County Generator Inc.,1.0,name_first_word_pike,pike county generator inc,pike county generator inc,7109,9644,1014,5
PIONEER ELECTRIC SUPPLY CO. INC.,Pioneer Electric,1.0,name_first_word_pioneer,pioneer electric supply co inc,pioneer electric,14484,5612,827,3
Pitch-Up Pizzas,Pitch-Up Pizzas,1.0,name_first_word_pitchup,pitchup pizzas,pitchup pizzas,6166,3416,1917,4
Plezer Color Lab,Plezer Color Lab,1.0,name_first_word_plezer,plezer color lab,plezer color lab,10481,6885,4895,2
Plurmac,Plurmac S.A. de C.V.,1.0,name_first_word_plurmac,plurmac,plurmac sa de cv,20274,5403,4896,2
Pocono Cinema,Pocono Cinema,1.0,name_first_word_pocono,pocono cinema,pocono cinema,560,18086,4897,5
POCONO CINEMA & CULTURAL CENTER INC.,POCONO CINEMA & CULTURAL CENTER INC.,1.0,name_first_word_pocono,pocono cinema cultural center inc,pocono cinema cultural center inc,26388,6571,4897,5
Porky Pete’s BBQ,Porky Pete’s BBQ,1.0,name_first_word_porky,porky petes bbq,porky petes bbq,29129,12799,4898,4
Porky Pete’s BBQ,Porky Pete's BBQ,1.0,name_first_word_porky,porky petes bbq,porky petes bbq,29129,22366,4898,4
Powertest Asia,Powertest Asia,1.0,name_first_word_powertest,powertest asia,powertest asia,18138,23131,4899,2
PPS Limited,PPS,1.0,name_first_word_pps,pps,pps,20142,927,4900,2
Premier Valley Oral Surgery & Dental Implants,Premier Valley Oral Surgery & Dental Implants,1.0,name_first_word_premier,premier valley oral surgery dental implants,premier valley oral surgery dental implants,19398,16970,4901,2
Premiere Uk IS Ltd.,Premiere UK IS Ltd.,1.0,name_first_word_premiere,premiere uk is ltd,premiere uk is ltd,10787,8613,3540,3
Presenzia,Presenzia,1.0,name_first_word_presenzia,presenzia,presenzia,25265,31766,1838,3
PRIMUS ASSESSORIA CONTABIL,Primus assessoria contabil,1.0,name_first_word_primus,primus assessoria contabil,primus assessoria contabil,28290,17940,3418,4
PRIMUS ASSESSORIA CONTABIL,Primus Assessoria Contábil,1.0,name_first_word_primus,primus assessoria contabil,primus assessoria contabil,28290,23141,3418,4
PRIX CLUBE DE BENEFÍCIO,PRIX CLUBE DE BENEFÍCIO,1.0,name_first_word_prix,prix clube de beneficio,prix clube de beneficio,22494,30286,1417,4
PRO-PLANTOOL GMBH & CO. KG,pro-PlanTool Software,1.0,name_first_word_proplantool,proplantool co kg,proplantool software,19832,21085,1712,5
PRO-PLANTOOL GMBH & CO. KG,pro-PlanTool GmbH & Co. KG,1.0,name_first_word_proplantool,proplantool co kg,proplantool co kg,19832,29225,1712,5
Purbasthali College,Purbasthali College,1.0,name_first_word_purbasthali,purbasthali college,purbasthali college,2137,3364,4903,2
Queen Street Carpentry,Queen Street Carpentry,1.0,name_first_word_queen,queen street carpentry,queen street carpentry,12407,3146,4905,2
Queensland Workplace & Injury Law,Queensland Workplace & Workplace Injury Law,1.0,name_first_word_queensland,queensland workplace injury law,queensland workplace workplace injury law,16824,1339,2752,4
Radional Comercio De Componentes Eletronicos,Radional Comercio De Componentes Eletronicos,1.0,name_first_word_radional,radional comercio de componentes eletronicos,radional comercio de componentes eletronicos,24580,20916,4906,2
Radvi Hortalizas,RADVI HORTALIZAS,1.0,name_first_word_radvi,radvi hortalizas,radvi hortalizas,6125,14765,4041,3
RaeLynn's Boutique,Raelynns Boutique,1.0,name_first_word_raelynns,raelynns boutique,raelynns boutique,30460,10572,2647,4
Rafael Ramires Arquitetura,RAFAEL RAMIRES ARQUITETURA,1.0,name_first_word_rafael,rafael ramires arquitetura,rafael ramires arquitetura,3265,21155,4907,4
Rafael Ramires Arquitetura,Rafael Ramires Arquitetura,1.0,name_first_word_rafael,rafael ramires arquitetura,rafael ramires arquitetura,3265,18358,4907,4
RAFAEL RAMIRES ARQUITETURA,RAFAEL RAMIRES ARQUITETURA,1.0,name_first_word_rafael,rafael ramires arquitetura,rafael ramires arquitetura,21155,32839,4907,4
Railtec Eisenbahntechnik,Railtec Eisenbahnrtechnik,1.0,name_first_word_railtec,railtec eisenbahntechnik,railtec eisenbahnrtechnik,7840,25922,4908,3
Railtec Eisenbahntechnik,Railtec Eisenbahntechnik,1.0,name_first_word_railtec,railtec eisenbahntechnik,railtec eisenbahntechnik,7840,7669,4908,3
Raleigh Mennonite Church,Raleigh Mennonite Church,1.0,name_first_word_raleigh,raleigh mennonite church,raleigh mennonite church,25040,418,4909,2
Raúl Estrada Arquitectura,RAUL ESTRADA ARQUITECTURA,1.0,name_first_word_raul,raul estrada arquitectura,raul estrada arquitectura,30359,17386,4910,5
RAÚL ESTRADA,RAUL ESTRADA,1.0,name_first_word_raul,raul estrada,raul estrada,3849,19036,4910,5
RAUL ESTRADA ARQUITECTURA,RAUL ESTRADA ARQUITECTURA,1.0,name_first_word_raul,raul estrada arquitectura,raul estrada arquitectura,17386,24671,4910,5
Ravi Gill,Ravi Gill,1.0,name_first_word_ravi,ravi gill,ravi gill,31883,10653,4911,2
RAYNES WALKER INC.,Raynes Walker,1.0,name_first_word_raynes,raynes walker inc,raynes walker,11935,33332,4912,3
RAYNES WALKER INC.,RAYNES WALKER INC.,1.0,name_first_word_raynes,raynes walker inc,raynes walker inc,11935,23103,4912,3
Real-Avto,company RealAvto,1.0,name_first_word_realavto,realavto,realavto,8386,16036,4914,4
Reardon Pallet Co.,Reardon Pallet Co.,1.0,name_first_word_reardon,reardon pallet co,reardon pallet co,4209,12741,4915,2
Reardon Pallet,Reardon Pallet Company Inc.,1.0,name_first_word_reardon,reardon pallet,reardon pallet inc,21271,19000,3020,3
Reardon Pallet Company Inc.,REARDON PALLET COMPANY INC.,1.0,name_first_word_reardon,reardon pallet inc,reardon pallet inc,19000,17838,3020,3
Rede Super,Rede Super,1.0,name_first_word_rede,rede super,rede super,28515,18883,4916,2
Regulatory Assistance Project,Regulatory Assistance Project,1.0,name_first_word_regulatory,regulatory assistance project,regulatory assistance project,6098,15912,257,6
Relative Accountancy Limited,Relative Accountants,1.0,name_first_word_relative,relative accountancy,relative accountants,342,22286,1873,5
rentsite - Webdesign & Safety,Rentsite - Webdesign & Safety,1.0,name_first_word_rentsite,rentsite webdesign safety,rentsite webdesign safety,32402,1083,4917,3
rentsite - Webdesign & Safety,rentsite - Webdesign & Safety,1.0,name_first_word_rentsite,rentsite webdesign safety,rentsite webdesign safety,32402,8042,4917,3
RESORT ADVISORY GROUP INTERNATIONAL LLC.,RESORT ADVISORY GROUP INTERNATIONAL LLC.,1.0,name_first_word_resort,resort advisory group international llc,resort advisory group international llc,9060,9992,3238,5
Resort Advisory Group International Llc,Resort Advisory Group International,1.0,name_first_word_resort,resort advisory group international,resort advisory group international,28469,5722,3238,5
ReyNa Buildmat,Reyna buildmat,1.0,name_first_word_reyna,reyna buildmat,reyna buildmat,2770,21883,4918,2
Riachuelo,Riachuelo,1.0,name_first_word_riachuelo,riachuelo,riachuelo,28370,23939,4919,2
RIAK,RİAK,1.0,name_first_word_riak,riak,riak,6418,19384,1900,5
RİAK A.Ş.,RİAK A.Ş.,1.0,name_first_word_riak,riak as,riak as,8967,29119,1900,5
RIG ASSEMBLY OF GOD CHURCH,RIG ASSEMBLY OF GOD CHURCH,1.0,name_first_word_rig,rig assembly of god church,rig assembly of god church,10988,17270,4920,3
RIG ASSEMBLY OF GOD CHURCH,Rig Assembly Of God Church,1.0,name_first_word_rig,rig assembly of god church,rig assembly of god church,10988,30943,4920,3
Rise Up Technologies Inc.,Rise Up Tec,1.0,name_first_word_rise,rise up technologies inc,rise up tec,6955,2578,954,5
Rise Up Technologies Inc.,RISE UP TECHNOLOGIES INC.,1.0,name_first_word_rise,rise up technologies inc,rise up technologies inc,6955,33316,954,5
Rise Up Tec,RISE UP TECHNOLOGIES INC.,1.0,name_first_word_rise,rise up tec,rise up technologies inc,2578,33316,954,5
Rivera Bike Rental,Rivera Bike Rental,1.0,name_first_word_rivera,rivera bike rental,rivera bike rental,8899,25276,4233,5
Robertson Roofing,Robertson Roofing,1.0,name_first_word_robertson,robertson roofing,robertson roofing,15584,19467,3955,3
ROBSON & FRANCIS REWINDS LTD,ROBSON & FRANCIS REWINDS LIMITED,1.0,name_first_word_robson,robson francis rewinds,robson francis rewinds,6753,13271,4921,4
ROBSON & FRANCIS REWINDS LTD,Robson & Francis Rewinds,1.0,name_first_word_robson,robson francis rewinds,robson francis rewinds,6753,1199,4921,4
ROBSON & FRANCIS REWINDS LIMITED,ROBSON & FRANCIS REWINDS LIMITED,1.0,name_first_word_robson,robson francis rewinds,robson francis rewinds,13271,27260,4921,4
ROBSON & FRANCIS REWINDS LIMITED,Robson & Francis Rewinds,1.0,name_first_word_robson,robson francis rewinds,robson francis rewinds,13271,1199,4921,4
Ron OutSourcing,Ron Outsourcing Limited,1.0,name_first_word_ron,ron outsourcing,ron outsourcing,849,15861,1175,4
Ron OutSourcing,Ron Outsourcing,1.0,name_first_word_ron,ron outsourcing,ron outsourcing,849,6474,1175,4
Roto-Rooter High Desert,Roto-Rooter High Desert,1.0,name_first_word_rotorooter,rotorooter high desert,rotorooter high desert,3891,3435,4922,2
Royston Bethel,Royston Bethel,1.0,name_first_word_royston,royston bethel,royston bethel,19749,9189,4923,2
Rucoletta,Rucoletta,1.0,name_first_word_rucoletta,rucoletta,rucoletta,26082,3448,4924,4
Rucoletta Restaurant,Rucoletta Restaurant,1.0,name_first_word_rucoletta,rucoletta restaurant,rucoletta restaurant,14521,27261,4924,4
RUHESCHMIEDE - Yoga & Entspannung,RUHESCHMIEDE - Yoga & Entspannung,1.0,name_first_word_ruheschmiede,ruheschmiede yoga entspannung,ruheschmiede yoga entspannung,19025,8645,4925,2
RWI Treuhand,RWI Treuhand,1.0,name_first_word_rwi,rwi treuhand,rwi treuhand,23858,995,4926,2
Safety Plus,SAFETY PLUS LIMITED,1.0,name_first_word_safety,safety plus,safety plus,24164,25434,754,5
Safety Plus Limited,SAFETY PLUS LIMITED,1.0,name_first_word_safety,safety plus,safety plus,17333,25434,754,5
Salon Above,SALON ABOVE INCORPORATED,1.0,name_first_word_salon,salon above,salon above,23634,15583,3475,3
Sandra Beggs,Sandra Beggs,1.0,name_first_word_sandra,sandra beggs,sandra beggs,28897,15916,4927,2
Santos Demolidora,Santos Demolidora,1.0,name_first_word_santos,santos demolidora,santos demolidora,10661,30837,4928,3
Santos Demolidora,SANTOS DEMOLIDORA,1.0,name_first_word_santos,santos demolidora,santos demolidora,10661,5078,4928,3
SARA CREAZIONI,SARA CREAZIONI srl.,1.0,name_first_word_sara,sara creazioni,sara creazioni srl,1733,9335,4929,3
SARA CREAZIONI,Sara Creazioni Srl.,1.0,name_first_word_sara,sara creazioni,sara creazioni srl,1733,21855,4929,3
SARA CREAZIONI srl.,Sara Creazioni Srl.,1.0,name_first_word_sara,sara creazioni srl,sara creazioni srl,9335,21855,4929,3
Satovsky,Satovsky,1.0,name_first_word_satovsky,satovsky,satovsky,23526,11245,4930,5
SATOVSKY ASSET MANAGEMENT LLC.,Satovsky Asset Management LLC.,1.0,name_first_word_satovsky,satovsky asset management llc,satovsky asset management llc,16470,906,4930,5
Savage Race,Savage Race,1.0,name_first_word_savage,savage race,savage race,30176,3816,4931,2
Sběrné suroviny Recovera Využití zdrojů,Sběrné suroviny Recovera Využití zdrojů,1.0,name_first_word_sberne,sberne suroviny recovera vyuziti zdroju,sberne suroviny recovera vyuziti zdroju,32098,23908,4932,2
Schrack Technik BH,Schrack Technik BH,1.0,name_first_word_schrack,schrack technik bh,schrack technik bh,4071,28411,4933,2
Sen Viet Vegan Restaurant,Sen Viet Vegan Restaurant,1.0,name_first_word_sen,sen viet vegan restaurant,sen viet vegan restaurant,16568,366,4934,2
Sensational Nails,Sensational Nailsbow,1.0,name_first_word_sensational,sensational nails,sensational nailsbow,24567,14236,3379,5
Sensational Nailsbow,Sensational Nailsbow,1.0,name_first_word_sensational,sensational nailsbow,sensational nailsbow,14236,19838,3379,5
Sequoia Properties,Sequoia Properties,1.0,name_first_word_sequoia,sequoia properties,sequoia properties,8345,21259,2926,3
Sign Me Up,Sign Me Up,1.0,name_first_word_sign,sign me up,sign me up,12360,30635,4935,2
Skar Precision Mouldings,Skar Precision Mouldings,1.0,name_first_word_skar,skar precision mouldings,skar precision mouldings,29755,3949,1037,3
Ski Aspen,Ski Aspen,1.0,name_first_word_ski,ski aspen,ski aspen,22536,30443,4936,2
Slon I Ptichka,Slon I Ptichka,1.0,name_first_word_slon,slon i ptichka,slon i ptichka,23569,31194,4937,2
Smj Precision Ltd.,SMJ PRECISION LTD.,1.0,name_first_word_smj,smj precision ltd,smj precision ltd,9281,14338,596,5
Smj Precision Ltd.,SMJ Precision,1.0,name_first_word_smj,smj precision ltd,smj precision,9281,8389,596,5
Smj Precision Ltd.,SMJ Precision Ltd.,1.0,name_first_word_smj,smj precision ltd,smj precision ltd,9281,7979,596,5
SmogBuster,Smogbuster,1.0,name_first_word_smogbuster,smogbuster,smogbuster,6001,22562,746,4
SmogBuster,SmogBuster,1.0,name_first_word_smogbuster,smogbuster,smogbuster,6001,11641,746,4
Sorriso Digital Franchising,Sorriso Digital Franchising,1.0,name_first_word_sorriso,sorriso digital franchising,sorriso digital franchising,23914,12493,4938,2
Southbourne Tennis Club,SOUTHBOURNE TENNIS CLUB LIMITED,1.0,name_first_word_southbourne,southbourne tennis club,southbourne tennis club,4099,31309,1046,4
Speakeasy Language Academy,Speakeasy Language Academy,1.0,name_first_word_speakeasy,speakeasy language academy,speakeasy language academy,12384,947,1437,3
Specialty Motors,Specialty Motors,1.0,name_first_word_specialty,specialty motors,specialty motors,5947,5506,4939,2
SPIELBERG GMBH,Spielberg GmbH,1.0,name_first_word_spielberg,spielberg,spielberg,17882,11180,1982,5
Spit Shine Cleaning Svc,Spit Shine Cleaning Svc,1.0,name_first_word_spit,spit shine cleaning svc,spit shine cleaning svc,6642,14809,4941,2
Sree Navodaya Junior College,Sree Navodaya Junior College,1.0,name_first_word_sree,sree navodaya junior college,sree navodaya junior college,22624,8672,4942,2
Stacked Exports Inc.,STACKED EXPORTS,1.0,name_first_word_stacked,stacked exports inc,stacked exports,22226,9397,4943,3
Stacked Exports Inc.,Stacked Exports Inc.,1.0,name_first_word_stacked,stacked exports inc,stacked exports inc,22226,18103,4943,3
Steam Green,Steam Green,1.0,name_first_word_steam,steam green,steam green,10400,16803,4944,2
Steam Green Carpet Cleaning and Restoration,Steam Green Carpet Cleaning and Restoration,1.0,name_first_word_steam,steam green carpet cleaning and restoration,steam green carpet cleaning and restoration,24938,3279,4945,2
Steil Surveying Services LLC.,Steil Surveying Services LLC.,1.0,name_first_word_steil,steil surveying services llc,steil surveying services llc,32216,14040,595,5
Steinladen Itzstedt UG,Steinladen Itzstedt UG,1.0,name_first_word_steinladen,steinladen itzstedt ug,steinladen itzstedt ug,13274,29261,4946,2
Stoltzfus Export,Stoltzfus Export,1.0,name_first_word_stoltzfus,stoltzfus export,stoltzfus export,11989,28971,2571,4
Stort Mill Recycling LTD.,Stort Mill Recycling LTD.,1.0,name_first_word_stort,stort mill recycling ltd,stort mill recycling ltd,1376,9975,2047,5
Stort Mill Recycling,STORT MILL RECYCLING LTD,1.0,name_first_word_stort,stort mill recycling,stort mill recycling,12976,18277,2047,5
Strait,Strait,1.0,name_first_word_strait,strait,strait,12502,1164,4100,4
Strangnas kommun,Strängnäs Kommun,1.0,name_first_word_strangnas,strangnas kommun,strangnas kommun,20858,14059,4947,5
Strangnas kommun,Strängnäs kommun,1.0,name_first_word_strangnas,strangnas kommun,strangnas kommun,20858,20412,4947,5
Strängnäs Kommun,Strängnäs kommun,1.0,name_first_word_strangnas,strangnas kommun,strangnas kommun,14059,20412,4947,5
Strategic Tax & Business Solutions,Strategic Tax & Business Solutions,1.0,name_first_word_strategic,strategic tax business solutions,strategic tax business solutions,6402,25301,1743,5
Stratie Bau GmbH,STRATIE Bau GmbH,1.0,name_first_word_stratie,stratie bau,stratie bau,10848,24391,1670,4
Streamline Surgical,Streamline Surgical,1.0,name_first_word_streamline,streamline surgical,streamline surgical,29097,3259,4948,2
Sue-Ann Staff Estate Winery,Sue-Ann Staff Estate Winery,1.0,name_first_word_sueann,sueann staff estate winery,sueann staff estate winery,32211,24758,4949,3
Superhuman Academy,SUPERHUMAN ACADEMY,1.0,name_first_word_superhuman,superhuman academy,superhuman academy,14196,7039,4057,4
Surreal Chesterfield,Surreal Chesterfield,1.0,name_first_word_surreal,surreal chesterfield,surreal chesterfield,5176,17783,4950,2
Suzy Wong's Drag'n Brunch,Suzy Wong's Drag’n Brunch,1.0,name_first_word_suzy,suzy wongs dragn brunch,suzy wongs dragn brunch,19283,5339,4951,2
Suzy Wong's House of Yum,Suzy Wong's House of Yum,1.0,name_first_word_suzy,suzy wongs house of yum,suzy wongs house of yum,12708,21630,4952,2
SWITCH INC.,Switch Inc. Electrical Contrators,1.0,name_first_word_switch,switch inc,switch inc electrical contrators,10418,7254,2609,5
SWITCH INC.,Switch Inc.,1.0,name_first_word_switch,switch inc,switch inc,10418,973,2609,5
Synergy Salon,Synergy Salon,1.0,name_first_word_synergy,synergy salon,synergy salon,31317,25303,4953,3
Tahini Authentic Middle Eastern Street Food,Tahini Authentic Middle Eastern Street Food,1.0,name_first_word_tahini,tahini authentic middle eastern street food,tahini authentic middle eastern street food,21479,7439,4954,2
Tall Trees Antiques & Interiors,Tall Trees Antiques & Interiors,1.0,name_first_word_tall,tall trees antiques interiors,tall trees antiques interiors,5798,28391,1726,4
Tandem Properties,TANDEM PROPERTIES,1.0,name_first_word_tandem,tandem properties,tandem properties,22757,24519,4955,2
TANZATELIER Stuttgart,Tanzatelier Stuttgart,1.0,name_first_word_tanzatelier,tanzatelier stuttgart,tanzatelier stuttgart,30497,24726,3124,3
Tara's beauty Salon,Tara's Beauty salon,1.0,name_first_word_taras,taras beauty salon,taras beauty salon,8662,10267,4956,3
Tara's beauty Salon,Tara's Beauty Salon,1.0,name_first_word_taras,taras beauty salon,taras beauty salon,8662,17419,4956,3
Tara's Beauty salon,Tara's Beauty Salon,1.0,name_first_word_taras,taras beauty salon,taras beauty salon,10267,17419,4956,3
Taxpayer eService,Taxpayer eService,1.0,name_first_word_taxpayer,taxpayer eservice,taxpayer eservice,11168,28018,4957,2
TaxPride,Tax-pride,1.0,name_first_word_taxpride,taxpride,taxpride,9650,16318,4958,4
TaxPride,TaxPride,1.0,name_first_word_taxpride,taxpride,taxpride,9650,13566,4958,4
TaxPride,Taxpride,1.0,name_first_word_taxpride,taxpride,taxpride,9650,4443,4958,4
Tax-pride,Taxpride,1.0,name_first_word_taxpride,taxpride,taxpride,16318,4443,4958,4
Technogen,Technogen,1.0,name_first_word_technogen,technogen,technogen,16197,1513,4959,2
TEDDER PHOTOGRAPHY,Tedder Photography,1.0,name_first_word_tedder,tedder photography,tedder photography,26737,6484,4522,5
TEDDER PHOTOGRAPHY,TEDDER PHOTOGRAPHY,1.0,name_first_word_tedder,tedder photography,tedder photography,26737,6838,4522,5
Tedder Photography,Tedder Photography,1.0,name_first_word_tedder,tedder photography,tedder photography,6484,32184,4522,5
Termas del Gualeguaychú | Entre Ríos Argentina,Termas del Gualeguaychú | Entre Ríos Argentina,1.0,name_first_word_termas,termas del gualeguaychu entre rios argentina,termas del gualeguaychu entre rios argentina,7391,18388,625,3
TET-Emtron,Tet-Emtron,1.0,name_first_word_tetemtron,tetemtron,tetemtron,31924,24869,1330,5
Tet-Emtron,TET-EMTRON,1.0,name_first_word_tetemtron,tetemtron,tetemtron,24869,32013,1330,5
Thai Enc co. Ltd.,Thai Enc Co. Ltd.,1.0,name_first_word_thai,thai enc co ltd,thai enc co ltd,32843,28447,4961,2
Theodor Biesemann GmbH,THEODOR BIESEMANN GMBH,1.0,name_first_word_theodor,theodor biesemann,theodor biesemann,32760,8026,2572,4
Theodor Biesemann GmbH,Theodor Biesemann,1.0,name_first_word_theodor,theodor biesemann,theodor biesemann,32760,31643,2572,4
THEODOR BIESEMANN GMBH,Theodor Biesemann,1.0,name_first_word_theodor,theodor biesemann,theodor biesemann,8026,31643,2572,4
